oid,gid,pop,labor,unemp,unemppct,blackunemppct,asianunemppct,whiteunemppct,hispanicunemppct,shapearea,shapelen
86,1300408,949,774,317,2.6,4,9.9,3.9,5.7,246688798.834229,262581.537925338
87,1347616,515,440,178,6.2,6.4,,10.1,15.1,76815202.8510742,92203.3180415705
88,1362524,705,595,194,2.6,4.1,17.5,2.2,9.2,199079050.867676,256635.454486888
89,1305036,164,139,50,4.9,,,1.7,68.1,153668344.365234,245299.65628531
90,1364792,44,48,58,114,,,46,204.3,7881281.26708984,16630.7824606788
91,1324600,1040,894,262,1.7,4.9,2.6,2.1,3.1,282582203.85498,190690.069482651
92,1346356,553,480,138,2.2,5,2.4,3.7,5.5,190154128.345703,123475.283903665
93,1339524,770,644,332,5.8,8.8,65.8,6.1,17.6,187851371.403564,363351.610667602
94,1315172,936,836,203,1.2,2.9,5.2,1.3,2.6,211615422.26001,82936.1223783251
95,1371604,941,825,310,3.1,6.1,10.8,2.1,5.3,292031269.507324,176393.631733794
96,1319336,708,560,259,3.7,4.3,21.6,3.6,10.1,329002262.387207,348556.168453292
97,1334596,237,203,63,4.3,8.3,18.4,2.7,25.5,69436874.7734375,77216.3378056926
98,1310132,420,363,123,4.2,8.3,41.7,3.9,67,294633008.849609,224699.338507202
99,1309544,199,150,64,7,9.7,204.3,6.7,167.1,104111325.193848,107688.888776476
100,1358296,52,51,58,78.6,114.9,,40,153.2,10016266.4555664,17228.6701652744
101,1331908,1066,924,194,1.1,2,6,2.2,1.4,936202913.03418,1028036.58629531
102,1357260,357,301,80,3.5,16.7,52.5,2,3.5,132366737.660889,384982.276151557
103,1300436,459,373,160,7,9.9,,7.5,25.5,251511187.69458,185673.351871729
104,1313688,778,646,187,2.2,4.5,130.5,2.7,2.9,809749928.318848,834648.346585469
105,1327344,164,129,56,7.9,183.8,23,3.3,17.3,196893001.133301,183784.239026341
106,1347140,538,412,133,5,7,,6.3,14.1,275330733.818359,296630.012750202
107,1378044,479,404,155,4.1,6.1,31.4,5.5,10.4,358917217.848389,164831.919339339
108,1310944,1236,1139,212,0.7,2.2,2.1,0.7,2.3,324078625.835693,112381.554484669
109,1323536,532,463,119,2,5.5,3.7,3.3,2.8,135899054.952393,93604.2694885076
110,1322052,686,601,156,1.5,4,4.3,1.6,12.6,123242952.561035,77390.1049208946
111,1316544,622,508,203,3.1,4.7,3.9,7.1,10.7,49634045.4545898,49960.2859706306
112,1371492,1507,1377,361,1.1,2.3,5.2,1.2,3.8,430286755.115723,409689.968436419
113,1377652,1086,964,298,1.6,3.7,2.4,2,5.2,561569480.110352,149589.121395449
114,1315552,233,185,71,5.4,12.7,,1.7,25.5,1650412779.45483,377218.547215843
115,1304644,172,160,60,3.9,25.4,35.1,2.1,63.4,34390478.4099121,40282.9680552246
116,1373704,1235,1058,393,2.6,3.7,6.1,4,5.2,383190788.626709,425881.1425102
